user	kaixxa	QojGiHHHBVmxTQy3g6zjsw==	false	true
user	robert	ifw3E2CztQeo6+KLvc1ZYg==	false	false
user	abc	AUhue1MBIz/x7tI7KkOP6Q==	true	false
user	admin	X03MO1qnZdYdgyfeuILPmQ==	true	true
user	jane	S1M7yVmMclkb29/k3VqRGQ==	false	false
film	Avengers: Endgame	avengers_endgame.mp4	182
film	Doctor Strange in the Multiverse of Madness	doctor_strange_in_the_multiverse_of_madness.mp4	126
film	Fantastic Beasts: The Secrets of Dumbledore	fantastic_beasts_the_secrets_of_dumbledore.mp4	143
film	The Imitation Game	the_imitation_game.mp4	114
film	The Batman	the_batman.mp4	176
film	Sonic the Hedgehog 2	sonic_the_hedgehog_2.mp4	122
hall	Fantastic Beasts: The Secrets of Dumbledore	S3	65	7	6
hall	The Imitation Game	CS Hall	45	6	8
hall	The Batman	S5	80	6	8
hall	Sonic the Hedgehog 2	Child Hall	45	6	7
hall	The Imitation Game	Alan Turing Hall	30	10	10
hall	Avengers: Endgame	S1	70	10	8
hall	Doctor Strange in the Multiverse of Madness	S2	60	8	9
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	4	5	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	5	0	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	5	1	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	5	2	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	5	3	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	5	4	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	5	5	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	6	0	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	6	1	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	6	2	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	6	3	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	6	4	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	6	5	null	0
seat	The Imitation Game	CS Hall	0	0	null	0
seat	The Imitation Game	CS Hall	0	1	null	0
seat	The Imitation Game	CS Hall	0	2	null	0
seat	The Imitation Game	CS Hall	0	3	null	0
seat	The Imitation Game	CS Hall	0	4	null	0
seat	The Imitation Game	CS Hall	0	5	null	0
seat	The Imitation Game	CS Hall	0	6	null	0
seat	The Imitation Game	CS Hall	0	7	null	0
seat	The Imitation Game	CS Hall	1	0	null	0
seat	The Imitation Game	CS Hall	1	1	null	0
seat	The Imitation Game	CS Hall	1	2	null	0
seat	The Imitation Game	CS Hall	1	3	null	0
seat	The Imitation Game	CS Hall	1	4	null	0
seat	The Imitation Game	CS Hall	1	5	null	0
seat	The Imitation Game	CS Hall	1	6	null	0
seat	The Imitation Game	CS Hall	1	7	null	0
seat	The Imitation Game	CS Hall	2	0	null	0
seat	The Imitation Game	CS Hall	2	1	null	0
seat	The Imitation Game	CS Hall	2	2	null	0
seat	The Imitation Game	CS Hall	2	3	null	0
seat	The Imitation Game	CS Hall	2	4	null	0
seat	The Imitation Game	CS Hall	2	5	null	0
seat	The Imitation Game	CS Hall	2	6	null	0
seat	The Imitation Game	CS Hall	2	7	null	0
seat	The Imitation Game	CS Hall	3	0	null	0
seat	The Imitation Game	CS Hall	3	1	null	0
seat	The Imitation Game	CS Hall	3	2	null	0
seat	The Imitation Game	CS Hall	3	3	null	0
seat	The Imitation Game	CS Hall	3	4	null	0
seat	The Imitation Game	CS Hall	3	5	null	0
seat	The Imitation Game	CS Hall	3	6	null	0
seat	The Imitation Game	CS Hall	3	7	null	0
seat	The Imitation Game	CS Hall	4	0	null	0
seat	The Imitation Game	CS Hall	4	1	null	0
seat	The Imitation Game	CS Hall	4	2	null	0
seat	The Imitation Game	CS Hall	4	3	null	0
seat	The Imitation Game	CS Hall	4	4	null	0
seat	The Imitation Game	CS Hall	4	5	null	0
seat	The Imitation Game	CS Hall	4	6	null	0
seat	The Imitation Game	CS Hall	4	7	null	0
seat	The Imitation Game	CS Hall	5	0	null	0
seat	The Imitation Game	CS Hall	5	1	null	0
seat	The Imitation Game	CS Hall	5	2	null	0
seat	The Imitation Game	CS Hall	5	3	null	0
seat	The Imitation Game	CS Hall	5	4	null	0
seat	The Imitation Game	CS Hall	5	5	null	0
seat	The Imitation Game	CS Hall	5	6	null	0
seat	The Imitation Game	CS Hall	5	7	null	0
seat	The Batman	S5	0	0	null	0
seat	The Batman	S5	0	1	null	0
seat	The Batman	S5	0	2	null	0
seat	The Batman	S5	0	3	null	0
seat	The Batman	S5	0	4	null	0
seat	The Batman	S5	0	5	null	0
seat	The Batman	S5	0	6	null	0
seat	The Batman	S5	0	7	null	0
seat	The Batman	S5	1	0	null	0
seat	The Batman	S5	1	1	null	0
seat	The Batman	S5	1	2	null	0
seat	The Batman	S5	1	3	null	0
seat	The Batman	S5	1	4	null	0
seat	The Batman	S5	1	5	null	0
seat	The Batman	S5	1	6	null	0
seat	The Batman	S5	1	7	null	0
seat	The Batman	S5	2	0	null	0
seat	The Batman	S5	2	1	null	0
seat	The Batman	S5	2	2	null	0
seat	The Batman	S5	2	3	null	0
seat	The Batman	S5	2	4	null	0
seat	The Batman	S5	2	5	null	0
seat	The Batman	S5	2	6	null	0
seat	The Batman	S5	2	7	null	0
seat	The Batman	S5	3	0	null	0
seat	The Batman	S5	3	1	null	0
seat	The Batman	S5	3	2	null	0
seat	The Batman	S5	3	3	null	0
seat	The Batman	S5	3	4	null	0
seat	The Batman	S5	3	5	null	0
seat	The Batman	S5	3	6	null	0
seat	The Batman	S5	3	7	null	0
seat	The Batman	S5	4	0	null	0
seat	The Batman	S5	4	1	null	0
seat	The Batman	S5	4	2	null	0
seat	The Batman	S5	4	3	null	0
seat	The Batman	S5	4	4	null	0
seat	The Batman	S5	4	5	null	0
seat	The Batman	S5	4	6	null	0
seat	The Batman	S5	4	7	null	0
seat	The Batman	S5	5	0	null	0
seat	The Batman	S5	5	1	null	0
seat	The Batman	S5	5	2	null	0
seat	The Batman	S5	5	3	null	0
seat	The Batman	S5	5	4	null	0
seat	The Batman	S5	5	5	null	0
seat	The Batman	S5	5	6	null	0
seat	The Batman	S5	5	7	null	0
seat	Sonic the Hedgehog 2	Child Hall	0	0	null	0
seat	Sonic the Hedgehog 2	Child Hall	0	1	null	0
seat	Sonic the Hedgehog 2	Child Hall	0	2	admin	40
seat	Sonic the Hedgehog 2	Child Hall	0	3	null	0
seat	Sonic the Hedgehog 2	Child Hall	0	4	null	0
seat	Sonic the Hedgehog 2	Child Hall	0	5	null	0
seat	Sonic the Hedgehog 2	Child Hall	0	6	null	0
seat	Sonic the Hedgehog 2	Child Hall	1	0	null	0
seat	Sonic the Hedgehog 2	Child Hall	1	1	null	0
seat	Sonic the Hedgehog 2	Child Hall	1	2	null	0
seat	Sonic the Hedgehog 2	Child Hall	1	3	null	0
seat	Sonic the Hedgehog 2	Child Hall	1	4	null	0
seat	Sonic the Hedgehog 2	Child Hall	1	5	null	0
seat	Sonic the Hedgehog 2	Child Hall	1	6	null	0
seat	Sonic the Hedgehog 2	Child Hall	2	0	null	0
seat	Sonic the Hedgehog 2	Child Hall	2	1	null	0
seat	Sonic the Hedgehog 2	Child Hall	2	2	null	0
seat	Sonic the Hedgehog 2	Child Hall	2	3	null	0
seat	Sonic the Hedgehog 2	Child Hall	2	4	robert	45
seat	Sonic the Hedgehog 2	Child Hall	2	5	null	0
seat	Sonic the Hedgehog 2	Child Hall	2	6	null	0
seat	Sonic the Hedgehog 2	Child Hall	3	0	null	0
seat	Sonic the Hedgehog 2	Child Hall	3	1	null	0
seat	Sonic the Hedgehog 2	Child Hall	3	2	null	0
seat	Sonic the Hedgehog 2	Child Hall	3	3	null	0
seat	Sonic the Hedgehog 2	Child Hall	3	4	null	0
seat	Sonic the Hedgehog 2	Child Hall	3	5	null	0
seat	Sonic the Hedgehog 2	Child Hall	3	6	null	0
seat	Sonic the Hedgehog 2	Child Hall	4	0	null	0
seat	Sonic the Hedgehog 2	Child Hall	4	1	null	0
seat	Sonic the Hedgehog 2	Child Hall	4	2	null	0
seat	Sonic the Hedgehog 2	Child Hall	4	3	null	0
seat	Sonic the Hedgehog 2	Child Hall	4	4	null	0
seat	Sonic the Hedgehog 2	Child Hall	4	5	null	0
seat	Sonic the Hedgehog 2	Child Hall	4	6	null	0
seat	Sonic the Hedgehog 2	Child Hall	5	0	null	0
seat	Sonic the Hedgehog 2	Child Hall	5	1	null	0
seat	Sonic the Hedgehog 2	Child Hall	5	2	jane	45
seat	Sonic the Hedgehog 2	Child Hall	5	3	null	0
seat	Sonic the Hedgehog 2	Child Hall	5	4	null	0
seat	Sonic the Hedgehog 2	Child Hall	5	5	null	0
seat	Sonic the Hedgehog 2	Child Hall	5	6	null	0
seat	The Imitation Game	Alan Turing Hall	0	0	null	0
seat	The Imitation Game	Alan Turing Hall	0	1	null	0
seat	The Imitation Game	Alan Turing Hall	0	2	null	0
seat	The Imitation Game	Alan Turing Hall	0	3	null	0
seat	The Imitation Game	Alan Turing Hall	0	4	null	0
seat	The Imitation Game	Alan Turing Hall	0	5	null	0
seat	The Imitation Game	Alan Turing Hall	0	6	null	0
seat	The Imitation Game	Alan Turing Hall	0	7	null	0
seat	The Imitation Game	Alan Turing Hall	0	8	null	0
seat	The Imitation Game	Alan Turing Hall	0	9	null	0
seat	The Imitation Game	Alan Turing Hall	1	0	null	0
seat	The Imitation Game	Alan Turing Hall	1	1	null	0
seat	The Imitation Game	Alan Turing Hall	1	2	null	0
seat	The Imitation Game	Alan Turing Hall	1	3	null	0
seat	The Imitation Game	Alan Turing Hall	1	4	null	0
seat	The Imitation Game	Alan Turing Hall	1	5	null	0
seat	The Imitation Game	Alan Turing Hall	1	6	null	0
seat	The Imitation Game	Alan Turing Hall	1	7	null	0
seat	The Imitation Game	Alan Turing Hall	1	8	null	0
seat	The Imitation Game	Alan Turing Hall	1	9	null	0
seat	The Imitation Game	Alan Turing Hall	2	0	null	0
seat	The Imitation Game	Alan Turing Hall	2	1	null	0
seat	The Imitation Game	Alan Turing Hall	2	2	null	0
seat	The Imitation Game	Alan Turing Hall	2	3	null	0
seat	The Imitation Game	Alan Turing Hall	2	4	null	0
seat	The Imitation Game	Alan Turing Hall	2	5	null	0
seat	The Imitation Game	Alan Turing Hall	2	6	null	0
seat	The Imitation Game	Alan Turing Hall	2	7	null	0
seat	The Imitation Game	Alan Turing Hall	2	8	null	0
seat	The Imitation Game	Alan Turing Hall	2	9	null	0
seat	The Imitation Game	Alan Turing Hall	3	0	null	0
seat	The Imitation Game	Alan Turing Hall	3	1	null	0
seat	The Imitation Game	Alan Turing Hall	3	2	null	0
seat	The Imitation Game	Alan Turing Hall	3	3	null	0
seat	The Imitation Game	Alan Turing Hall	3	4	null	0
seat	The Imitation Game	Alan Turing Hall	3	5	null	0
seat	The Imitation Game	Alan Turing Hall	3	6	null	0
seat	The Imitation Game	Alan Turing Hall	3	7	null	0
seat	The Imitation Game	Alan Turing Hall	3	8	null	0
seat	The Imitation Game	Alan Turing Hall	3	9	null	0
seat	The Imitation Game	Alan Turing Hall	4	0	null	0
seat	The Imitation Game	Alan Turing Hall	4	1	null	0
seat	The Imitation Game	Alan Turing Hall	4	2	null	0
seat	The Imitation Game	Alan Turing Hall	4	3	null	0
seat	The Imitation Game	Alan Turing Hall	4	4	null	0
seat	The Imitation Game	Alan Turing Hall	4	5	null	0
seat	The Imitation Game	Alan Turing Hall	4	6	null	0
seat	The Imitation Game	Alan Turing Hall	4	7	null	0
seat	The Imitation Game	Alan Turing Hall	4	8	null	0
seat	The Imitation Game	Alan Turing Hall	4	9	null	0
seat	The Imitation Game	Alan Turing Hall	5	0	null	0
seat	The Imitation Game	Alan Turing Hall	5	1	null	0
seat	The Imitation Game	Alan Turing Hall	5	2	null	0
seat	The Imitation Game	Alan Turing Hall	5	3	null	0
seat	The Imitation Game	Alan Turing Hall	5	4	null	0
seat	The Imitation Game	Alan Turing Hall	5	5	null	0
seat	The Imitation Game	Alan Turing Hall	5	6	null	0
seat	The Imitation Game	Alan Turing Hall	5	7	null	0
seat	The Imitation Game	Alan Turing Hall	5	8	null	0
seat	The Imitation Game	Alan Turing Hall	5	9	null	0
seat	The Imitation Game	Alan Turing Hall	6	0	null	0
seat	The Imitation Game	Alan Turing Hall	6	1	null	0
seat	The Imitation Game	Alan Turing Hall	6	2	null	0
seat	The Imitation Game	Alan Turing Hall	6	3	null	0
seat	The Imitation Game	Alan Turing Hall	6	4	null	0
seat	The Imitation Game	Alan Turing Hall	6	5	null	0
seat	The Imitation Game	Alan Turing Hall	6	6	null	0
seat	The Imitation Game	Alan Turing Hall	6	7	null	0
seat	The Imitation Game	Alan Turing Hall	6	8	null	0
seat	The Imitation Game	Alan Turing Hall	6	9	null	0
seat	The Imitation Game	Alan Turing Hall	7	0	null	0
seat	The Imitation Game	Alan Turing Hall	7	1	null	0
seat	The Imitation Game	Alan Turing Hall	7	2	null	0
seat	The Imitation Game	Alan Turing Hall	7	3	null	0
seat	The Imitation Game	Alan Turing Hall	7	4	null	0
seat	The Imitation Game	Alan Turing Hall	7	5	null	0
seat	The Imitation Game	Alan Turing Hall	7	6	null	0
seat	The Imitation Game	Alan Turing Hall	7	7	null	0
seat	The Imitation Game	Alan Turing Hall	7	8	null	0
seat	The Imitation Game	Alan Turing Hall	7	9	null	0
seat	The Imitation Game	Alan Turing Hall	8	0	null	0
seat	The Imitation Game	Alan Turing Hall	8	1	null	0
seat	The Imitation Game	Alan Turing Hall	8	2	null	0
seat	The Imitation Game	Alan Turing Hall	8	3	null	0
seat	The Imitation Game	Alan Turing Hall	8	4	null	0
seat	The Imitation Game	Alan Turing Hall	8	5	null	0
seat	The Imitation Game	Alan Turing Hall	8	6	null	0
seat	The Imitation Game	Alan Turing Hall	8	7	null	0
seat	The Imitation Game	Alan Turing Hall	8	8	null	0
seat	The Imitation Game	Alan Turing Hall	8	9	null	0
seat	The Imitation Game	Alan Turing Hall	9	0	null	0
seat	The Imitation Game	Alan Turing Hall	9	1	null	0
seat	The Imitation Game	Alan Turing Hall	9	2	null	0
seat	The Imitation Game	Alan Turing Hall	9	3	null	0
seat	The Imitation Game	Alan Turing Hall	9	4	null	0
seat	The Imitation Game	Alan Turing Hall	9	5	null	0
seat	The Imitation Game	Alan Turing Hall	9	6	null	0
seat	The Imitation Game	Alan Turing Hall	9	7	null	0
seat	The Imitation Game	Alan Turing Hall	9	8	null	0
seat	The Imitation Game	Alan Turing Hall	9	9	null	0
seat	Avengers: Endgame	S1	0	0	null	0
seat	Avengers: Endgame	S1	0	1	null	0
seat	Avengers: Endgame	S1	0	2	null	0
seat	Avengers: Endgame	S1	0	3	null	0
seat	Avengers: Endgame	S1	0	4	null	0
seat	Avengers: Endgame	S1	0	5	null	0
seat	Avengers: Endgame	S1	0	6	null	0
seat	Avengers: Endgame	S1	0	7	null	0
seat	Avengers: Endgame	S1	1	0	null	0
seat	Avengers: Endgame	S1	1	1	null	0
seat	Avengers: Endgame	S1	1	2	null	0
seat	Avengers: Endgame	S1	1	3	null	0
seat	Avengers: Endgame	S1	1	4	null	0
seat	Avengers: Endgame	S1	1	5	null	0
seat	Avengers: Endgame	S1	1	6	null	0
seat	Avengers: Endgame	S1	1	7	null	0
seat	Avengers: Endgame	S1	2	0	null	0
seat	Avengers: Endgame	S1	2	1	null	0
seat	Avengers: Endgame	S1	2	2	null	0
seat	Avengers: Endgame	S1	2	3	null	0
seat	Avengers: Endgame	S1	2	4	null	0
seat	Avengers: Endgame	S1	2	5	null	0
seat	Avengers: Endgame	S1	2	6	null	0
seat	Avengers: Endgame	S1	2	7	null	0
seat	Avengers: Endgame	S1	3	0	null	0
seat	Avengers: Endgame	S1	3	1	null	0
seat	Avengers: Endgame	S1	3	2	null	0
seat	Avengers: Endgame	S1	3	3	null	0
seat	Avengers: Endgame	S1	3	4	null	0
seat	Avengers: Endgame	S1	3	5	null	0
seat	Avengers: Endgame	S1	3	6	null	0
seat	Avengers: Endgame	S1	3	7	null	0
seat	Avengers: Endgame	S1	4	0	null	0
seat	Avengers: Endgame	S1	4	1	jane	70
seat	Avengers: Endgame	S1	4	2	null	0
seat	Avengers: Endgame	S1	4	3	robert	70
seat	Avengers: Endgame	S1	4	4	null	0
seat	Avengers: Endgame	S1	4	5	null	0
seat	Avengers: Endgame	S1	4	6	null	0
seat	Avengers: Endgame	S1	4	7	null	0
seat	Avengers: Endgame	S1	5	0	null	0
seat	Avengers: Endgame	S1	5	1	null	0
seat	Avengers: Endgame	S1	5	2	null	0
seat	Avengers: Endgame	S1	5	3	null	0
seat	Avengers: Endgame	S1	5	4	null	0
seat	Avengers: Endgame	S1	5	5	null	0
seat	Avengers: Endgame	S1	5	6	null	0
seat	Avengers: Endgame	S1	5	7	null	0
seat	Avengers: Endgame	S1	6	0	null	0
seat	Avengers: Endgame	S1	6	1	null	0
seat	Avengers: Endgame	S1	6	2	admin	63
seat	Avengers: Endgame	S1	6	3	null	0
seat	Avengers: Endgame	S1	6	4	null	0
seat	Avengers: Endgame	S1	6	5	null	0
seat	Avengers: Endgame	S1	6	6	null	0
seat	Avengers: Endgame	S1	6	7	null	0
seat	Avengers: Endgame	S1	7	0	null	0
seat	Avengers: Endgame	S1	7	1	null	0
seat	Avengers: Endgame	S1	7	2	null	0
seat	Avengers: Endgame	S1	7	3	null	0
seat	Avengers: Endgame	S1	7	4	null	0
seat	Avengers: Endgame	S1	7	5	null	0
seat	Avengers: Endgame	S1	7	6	null	0
seat	Avengers: Endgame	S1	7	7	null	0
seat	Avengers: Endgame	S1	8	0	null	0
seat	Avengers: Endgame	S1	8	1	null	0
seat	Avengers: Endgame	S1	8	2	null	0
seat	Avengers: Endgame	S1	8	3	null	0
seat	Avengers: Endgame	S1	8	4	null	0
seat	Avengers: Endgame	S1	8	5	null	0
seat	Avengers: Endgame	S1	8	6	null	0
seat	Avengers: Endgame	S1	8	7	null	0
seat	Avengers: Endgame	S1	9	0	null	0
seat	Avengers: Endgame	S1	9	1	null	0
seat	Avengers: Endgame	S1	9	2	null	0
seat	Avengers: Endgame	S1	9	3	null	0
seat	Avengers: Endgame	S1	9	4	null	0
seat	Avengers: Endgame	S1	9	5	null	0
seat	Avengers: Endgame	S1	9	6	null	0
seat	Avengers: Endgame	S1	9	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	0	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	1	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	2	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	3	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	4	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	5	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	6	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	0	8	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	0	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	1	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	2	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	3	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	4	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	5	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	6	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	1	8	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	0	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	1	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	2	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	3	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	4	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	5	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	6	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	2	8	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	0	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	1	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	2	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	3	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	4	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	5	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	6	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	3	8	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	0	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	1	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	2	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	3	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	4	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	5	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	6	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	4	8	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	0	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	1	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	2	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	3	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	4	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	5	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	6	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	5	8	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	0	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	1	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	2	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	3	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	4	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	5	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	6	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	6	8	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	0	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	1	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	2	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	3	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	4	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	5	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	6	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	7	null	0
seat	Doctor Strange in the Multiverse of Madness	S2	7	8	null	0
